City,Country,IATA,CA,MU,CZ,HU
"Shizuoka *",Japan,FSZ,yes,yes,yes,NULL
"Siem Reap",Cambodia,REP,yes,yes,yes,NULL
Singapore,Singapore,SIN,yes,yes,yes,yes
"St. Petersburg",Russia,LED,yes,NULL,NULL,yes
Stockholm,Sweden,ARN,yes,NULL,NULL,NULL
Surabaya,Indonesia,SUB,NULL,NULL,yes,NULL
"Surat Thani",Thailand,URT,NULL,NULL,yes,NULL
Sydney,Australia,SYD,yes,yes,yes,yes
Tacheng,"People's Republic of China",TCG,NULL,NULL,yes,NULL
Taichung,Taiwan,RMQ,yes,yes,NULL,NULL
Tainan,Taiwan,TNN,NULL,yes,NULL,NULL
Taipei,Taiwan,TSA,yes,yes,NULL,NULL
Taipei,Taiwan,TPE,yes,yes,yes,yes
Taiyuan,"People's Republic of China",TYN,yes,yes,yes,yes
Taizhou,"People's Republic of China",HYN,yes,yes,NULL,NULL
Tashkent,Uzbekistan,TAS,NULL,NULL,yes,NULL
Tbilisi,Georgia,TBS,NULL,NULL,yes,NULL
Tehran,Iran,IKA,NULL,NULL,yes,NULL
"Tel Aviv",Israel,TLV,NULL,NULL,NULL,yes
Tengchong,"People's Republic of China",TCZ,NULL,yes,yes,NULL
Tianjin,"People's Republic of China",TSN,yes,yes,yes,yes
Tokyo,Japan,NRT,yes,yes,yes,NULL
Tokyo,Japan,HND,yes,yes,NULL,yes
Tonghua,"People's Republic of China",TNH,yes,yes,NULL,NULL
Tongliao,"People's Republic of China",TGO,yes,yes,yes,yes
Tongren,"People's Republic of China",TEN,NULL,NULL,yes,NULL
Toronto,Canada,YYZ,yes,yes,NULL,yes
Toyama,Japan,TOY,NULL,NULL,yes,NULL
"Ulan Bator",Mongolia,ULN,yes,NULL,NULL,NULL
Ulanhot,"People's Republic of China",HLH,yes,NULL,NULL,yes
Urumqi,"People's Republic of China",URC,yes,yes,yes,yes
Vancouver,Canada,YVR,yes,yes,yes,NULL
Vienna,Austria,VIE,yes,NULL,yes,NULL
Vientaine,Laos,VTE,NULL,yes,yes,NULL
Vientiane,Laos,VTE,NULL,yes,yes,NULL
Wanzhou,"People's Republic of China",WXN,yes,NULL,NULL,NULL
"Washington, D.C.","United States",IAD,yes,NULL,NULL,NULL
Weifang,"People's Republic of China",WEF,NULL,NULL,NULL,yes
Weihai,"People's Republic of China",WEH,yes,yes,yes,NULL
Wenshan,"People's Republic of China",WNH,NULL,yes,NULL,NULL
Wenzhou,"People's Republic of China",WNZ,yes,yes,yes,yes
Wuhai,"People's Republic of China",WUA,yes,yes,NULL,yes
Wuhan,"People's Republic of China",WUH,yes,yes,yes,yes
Wuxi,"People's Republic of China",WUX,yes,yes,yes,NULL
Wuyishan,"People's Republic of China",WUS,NULL,yes,NULL,NULL
Xi'an,"People's Republic of China",XIY,yes,yes,yes,yes
Xiamen,"People's Republic of China",XMN,yes,yes,yes,yes
